"id","date","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","yr_built","zipcode","latitude","longitude","census_tract","tract_name","pop_estimate","median_age","LHS","HS","SC","BACH","GRAD","prop_poverty"
3362400640,20150512,825000,3,1.75,2010,3090,1.5,0,1926,98103,47.6820030858659,-122.347924013366,53033002800,"Census Tract 28, King County, Washington",4854,36,0.01,0.05,0.21,0.48,0.24,0.09
1610000016,20140911,175000,4,1,1300,6030,1.5,0,1947,98168,47.4777994818922,-122.285930909828,53033027300,"Census Tract 273, King County, Washington",5846,31.8,0.26,0.33,0.22,0.13,0.06,0.24
8856890200,20140626,350000,3,2.25,1780,16290,2,0,1987,98058,47.4622039046389,-122.127008799477,53033031907,"Census Tract 319.07, King County, Washington",7787,39.7,0.06,0.11,0.3,0.35,0.18,0.04
6777800160,20140728,285000,4,1.75,2510,7440,1,0,1962,98032,47.3747952215138,-122.276034620268,53033029102,"Census Tract 291.02, King County, Washington",4358,39.3,0.15,0.28,0.39,0.11,0.07,0.11
5637500070,20140731,438000,3,2.5,1520,1304,2,0,2006,98136,47.544592278273,-122.385078272263,53033010600,"Census Tract 106, King County, Washington",8328,41.8,0.02,0.13,0.27,0.38,0.2,0.07
2310000240,20150313,275000,3,2.25,1420,8549,2,0,1989,98038,47.3576024082733,-122.038950083708,53033031604,"Census Tract 316.04, King County, Washington",5549,32.7,0.02,0.2,0.37,0.29,0.12,0.05
6306400140,20140612,1095000,0,0,3064,4764,3.5,0,1990,98102,47.6361933264682,-122.321957486453,53033006600,"Census Tract 66, King County, Washington",4092,32.2,0.01,0.05,0.19,0.45,0.3,0.07
5101405335,20140826,414900,3,1.5,1260,9570,1,0,1941,98115,47.7004009284788,-122.304996766865,53033001100,"Census Tract 11, King County, Washington",2791,37.6,0.03,0.11,0.25,0.31,0.3,0.13
510002519,20140715,466000,2,1.5,1140,1058,3,0,2005,98103,47.6607988980738,-122.332928167387,53033005100,"Census Tract 51, King County, Washington",3678,39.6,0.02,0.07,0.14,0.37,0.4,0.06
1387300070,20140825,374000,3,1.5,1330,10640,1,0,1976,98011,47.7364064232889,-122.19308049948,53033022001,"Census Tract 220.01, King County, Washington",5376,43.9,0.03,0.19,0.32,0.33,0.14,0.03
2324800070,20140610,740000,3,2.5,3000,25341,2,0,1995,98053,47.6723939750245,-122.012979581269,53033032315,"Census Tract 323.15, King County, Washington",5484,43.6,0.02,0.14,0.27,0.39,0.18,0.05
4302200695,20140828,270000,2,1,1000,10320,1,0,1943,98106,47.5270007111219,-122.355979867281,53033011401,"Census Tract 114.01, King County, Washington",4253,34.2,0.14,0.21,0.38,0.2,0.07,0.18
3395070640,20140902,3e+05,3,2.5,1320,2614,2,0,2005,98118,47.5355044738937,-122.283027794984,53033011001,"Census Tract 110.01, King County, Washington",4697,37.3,0.32,0.22,0.24,0.15,0.06,0.42
8594400370,20150205,299900,3,2.25,1560,35026,1,0,1985,98092,47.3023011408767,-122.068900831873,53033031605,"Census Tract 316.05, King County, Washington",3867,44.1,0.1,0.27,0.37,0.19,0.07,0.06
9455200445,20150325,601000,3,1.75,1330,6743,1,0,1958,98125,47.7011913515335,-122.285954519177,53033002200,"Census Tract 22, King County, Washington",5764,45.3,0,0.08,0.18,0.31,0.43,0.03
7279300070,20140922,345500,3,1,1350,8581,1,0,1944,98177,47.7611922410442,-122.362094450065,53033020800,"Census Tract 208, King County, Washington",4329,46.6,0.03,0.12,0.24,0.32,0.28,0.05
2009001600,20150506,265000,3,1,1070,9000,1,0,1950,98198,47.4061053865257,-122.330064328727,53033028901,"Census Tract 289.01, King County, Washington",3186,42.8,0.07,0.26,0.41,0.18,0.07,0.06
8001400340,20140924,289000,3,2,1850,9550,1,0,1988,98001,47.3225005992634,-122.272925258661,53033029901,"Census Tract 299.01, King County, Washington",4610,36.9,0.04,0.3,0.42,0.19,0.05,0.05
4167300350,20140508,258000,4,1.75,1730,8320,1,0,1977,98023,47.32699206417,-122.360984489279,53033030100,"Census Tract 301, King County, Washington",7934,47.4,0.07,0.17,0.35,0.26,0.16,0.1
342000570,20140909,429000,2,1,1080,3600,1,0,1922,98122,47.6078020110263,-122.290924888216,53033007800,"Census Tract 78, King County, Washington",5875,43.1,0.03,0.04,0.13,0.34,0.45,0.06
8143100350,20140825,349500,3,1.75,1260,7128,1,0,1969,98034,47.7262938030518,-122.205031108876,53033022003,"Census Tract 220.03, King County, Washington",4831,36.2,0.06,0.2,0.32,0.3,0.12,0.07
8682231170,20150429,554000,2,2,1920,6045,1,0,2003,98053,47.7107067201286,-122.030982907576,53033032327,"Census Tract 323.27, King County, Washington",4066,64,0.01,0.1,0.24,0.33,0.31,0.03
789000550,20150413,415000,3,1.75,1480,2200,2,0,1995,98103,47.6969036550765,-122.350015814223,53033001701,"Census Tract 17.01, King County, Washington",4004,35,0.06,0.11,0.23,0.37,0.22,0.11
5255710160,20150318,465000,4,2.25,2210,8862,1,0,1977,98011,47.7725032523822,-122.198025592658,53033021804,"Census Tract 218.04, King County, Washington",5097,34.6,0.1,0.19,0.3,0.3,0.11,0.09
3524039204,20140813,790000,4,2.75,2840,11900,1,0,1961,98136,47.5270985338814,-122.386075859385,53033011600,"Census Tract 116, King County, Washington",6899,45.7,0.04,0.13,0.28,0.36,0.2,0.04
390100060,20150421,325000,3,1,1040,7541,1,0,1951,98133,47.7565032901836,-122.33899604614,53033020600,"Census Tract 206, King County, Washington",3691,40.1,0.09,0.21,0.38,0.22,0.1,0.1
7764200030,20140716,515000,3,2.5,2360,11254,1,0,1990,98003,47.3356072844791,-122.333071342169,53033030100,"Census Tract 301, King County, Washington",7934,47.4,0.07,0.17,0.35,0.26,0.16,0.1
9828202545,20150127,490000,3,1.5,1970,3400,1.5,0,1929,98122,47.6162993993482,-122.291903617006,53033007800,"Census Tract 78, King County, Washington",5875,43.1,0.03,0.04,0.13,0.34,0.45,0.06
9834200885,20140717,360000,4,2.5,2080,4080,1,0,1962,98144,47.5719981917824,-122.289920498223,53033010100,"Census Tract 101, King County, Washington",8025,43.2,0.12,0.14,0.27,0.25,0.22,0.18
3509600070,20140725,225000,3,1.5,1370,9000,1,0,1962,98168,47.4973006820214,-122.327934124415,53033027000,"Census Tract 270, King County, Washington",3246,37.3,0.17,0.29,0.33,0.14,0.06,0.19
7000100631,20150507,730000,5,1.75,2690,21357,1,0,1952,98004,47.5831029562942,-122.190979100123,53033023900,"Census Tract 239, King County, Washington",7179,43,0.04,0.08,0.21,0.44,0.24,0.12
3904940200,20140620,660000,4,3.25,3030,9273,2,0,1988,98029,47.5746997842641,-122.01402592488,53033032211,"Census Tract 322.11, King County, Washington",5009,39.5,0.01,0.07,0.25,0.4,0.27,0.03
4037200295,20140819,525000,3,1.75,1520,8835,1,0,1957,98008,47.6054036137272,-122.117965271287,53033023300,"Census Tract 233, King County, Washington",6534,42.4,0.09,0.18,0.23,0.34,0.15,0.05
7135520810,20140730,1278000,4,4,4390,17832,1,0,1994,98059,47.5283096169609,-122.143095971835,53033025005,"Census Tract 250.05, King County, Washington",4962,39.3,0.01,0.13,0.24,0.31,0.31,0.05
200510060,20141231,605000,3,2.5,2570,9487,2,0,1989,98011,47.7408051886631,-122.216074606444,53033022102,"Census Tract 221.02, King County, Washington",6461,39,0.02,0.08,0.27,0.41,0.21,0.04
7880010060,20150406,699000,4,2.5,3230,40319,2,0,1987,98027,47.4856067875041,-122.068917761224,53033032104,"Census Tract 321.04, King County, Washington",6274,42.8,0.03,0.17,0.29,0.33,0.17,0.08
3876200070,20150508,460000,3,3,1520,7500,1,0,1967,98034,47.7275925243759,-122.180955918937,53033021903,"Census Tract 219.03, King County, Washington",6153,35.8,0.04,0.15,0.35,0.27,0.19,0.08
9222400510,20150107,406000,2,1,880,3000,1,0,1924,98115,47.6748942006041,-122.322972075233,53033003600,"Census Tract 36, King County, Washington",6631,31.3,0.01,0.06,0.14,0.5,0.29,0.15
2112700030,20141126,357000,5,2.75,1540,4000,1,0,1990,98106,47.5329958423236,-122.354089173911,53033011300,"Census Tract 113, King County, Washington",7054,41.3,0.15,0.18,0.4,0.21,0.06,0.08
8663370060,20141009,349000,3,2.25,1640,7261,2,0,1989,98034,47.7191947637351,-122.176074755909,53033021903,"Census Tract 219.03, King County, Washington",6153,35.8,0.04,0.15,0.35,0.27,0.19,0.08
5701800030,20140506,609000,4,2.5,2150,37981,2,0,1985,98052,47.7226901741372,-122.097934047427,53033032322,"Census Tract 323.22, King County, Washington",3616,42.1,0.02,0.04,0.26,0.39,0.28,0.02
567000392,20141103,363000,2,2,920,1201,2,0,2009,98144,47.592598015261,-122.294970998301,53033008900,"Census Tract 89, King County, Washington",5729,39.6,0.05,0.13,0.23,0.37,0.22,0.07
3759500046,20150501,748000,3,2.5,2600,10183,1,0,2004,98033,47.6984070816047,-122.201034585444,53033022400,"Census Tract 224, King County, Washington",8459,37.3,0.02,0.06,0.18,0.49,0.25,0.05
2407900200,20150409,530000,4,2.5,2950,4836,2,0,2006,98059,47.4789930767766,-122.128976391443,53033031903,"Census Tract 319.03, King County, Washington",6767,41.4,0.07,0.25,0.32,0.24,0.12,0.03
5104450070,20150309,435000,4,2.25,2730,7506,2,0,1987,98058,47.4627082461487,-122.152029738407,53033025702,"Census Tract 257.02, King County, Washington",3510,38.9,0.05,0.22,0.4,0.23,0.11,0.08
7234600786,20140511,842500,4,2.5,2160,5298,2.5,0,1902,98122,47.6106068661525,-122.310002838986,53033007900,"Census Tract 79, King County, Washington",6339,32.8,0.04,0.07,0.23,0.44,0.23,0.16
616000160,20141210,381000,3,2,1770,14400,1,0,1959,98166,47.4149949670694,-122.336999835022,53033028600,"Census Tract 286, King County, Washington",6360,46.3,0.04,0.13,0.31,0.32,0.2,0.06
7431500341,20150424,1355000,3,2.5,3600,21399,1,0,1950,98008,47.6190978564827,-122.098938051637,53033023000,"Census Tract 230, King County, Washington",5179,45.5,0.04,0.19,0.2,0.36,0.2,0.04
2919700885,20140826,459000,4,2,1560,3840,1,0,1924,98117,47.6881905015873,-122.364955338846,53033002900,"Census Tract 29, King County, Washington",4744,40.2,0.02,0.1,0.18,0.38,0.32,0.04
3395800295,20140711,250000,2,1,1030,8786,1,0,1956,98146,47.4814045237857,-122.340987099225,53033027500,"Census Tract 275, King County, Washington",4926,41.3,0.2,0.3,0.32,0.15,0.03,0.18
6362900172,20140923,499950,3,3.5,1820,1991,2,0,2014,98144,47.5960061915171,-122.297990561683,53033008900,"Census Tract 89, King County, Washington",5729,39.6,0.05,0.13,0.23,0.37,0.22,0.07
4136930310,20141106,360000,4,2.5,2390,7115,2,0,1999,98092,47.2592913257412,-122.221975625956,53033031000,"Census Tract 310, King County, Washington",3944,40.5,0.05,0.13,0.37,0.27,0.18,0.01
7787110060,20141013,432900,3,2.5,2210,9226,2,0,1998,98045,47.4848965986867,-121.781974007772,53033032704,"Census Tract 327.04, King County, Washington",6641,39.3,0.08,0.22,0.33,0.28,0.09,0.15
1138000160,20140908,343000,3,1,1120,7250,1,0,1972,98034,47.7143092953258,-122.211092274987,53033022202,"Census Tract 222.02, King County, Washington",7245,36.2,0.03,0.12,0.32,0.37,0.17,0.05
7522500070,20150204,610000,3,1,1800,5750,1,0,1947,98117,47.6859945315619,-122.39506677394,53033003100,"Census Tract 31, King County, Washington",6457,40.6,0.03,0.08,0.23,0.41,0.25,0.05
1974200060,20150424,525000,4,2.5,2400,10070,1,0,1967,98034,47.7104053636773,-122.240084682355,53033022300,"Census Tract 223, King County, Washington",2647,50.3,0.01,0.09,0.17,0.37,0.36,0.03
1939110310,20150310,722080,3,3.25,3680,7650,2,0,1988,98074,47.6272001142796,-122.03301308951,53033032318,"Census Tract 323.18, King County, Washington",6176,37.4,0,0.06,0.16,0.44,0.34,0.03
3013301525,20141013,453500,2,1.5,1710,4189,1,0,1951,98136,47.5286042524046,-122.383089930578,53033011600,"Census Tract 116, King County, Washington",6899,45.7,0.04,0.13,0.28,0.36,0.2,0.04
3303100075,20141014,443500,3,2,1920,7598,1,0,1972,98177,47.7734944856908,-122.363034036896,53033020200,"Census Tract 202, King County, Washington",5189,49.1,0.05,0.14,0.3,0.36,0.16,0.09
2130702205,20150406,390000,3,1.75,1790,7123,1,0,1913,98019,47.7428923764352,-121.981051880583,53033032401,"Census Tract 324.01, King County, Washington",6302,39.1,0.05,0.21,0.33,0.31,0.1,0.11
9408300310,20140624,520000,3,1.75,2300,35722,1,0,1984,98072,47.7454995148091,-122.111994945899,53033032320,"Census Tract 323.20, King County, Washington",4598,44.7,0.02,0.17,0.22,0.37,0.22,0.02
9542000030,20140722,835100,4,2.5,2380,12573,1,0,1963,98005,47.5983933716332,-122.175948284768,53033023500,"Census Tract 235, King County, Washington",3740,42.7,0.03,0.08,0.27,0.37,0.26,0.07
1785500132,20141118,293000,3,1,1020,7650,1,0,1940,98133,47.7197943581262,-122.351975192095,53033000402,"Census Tract 4.02, King County, Washington",5300,47.9,0.06,0.16,0.25,0.37,0.16,0.07
3356406510,20140530,196440,3,2,1560,7352,1,0,1992,98001,47.2803999238633,-122.250901059149,53033030901,"Census Tract 309.01, King County, Washington",3610,34.6,0.16,0.39,0.36,0.06,0.03,0.11
8099900260,20140528,544500,4,2.5,2230,10414,1,0,1974,98075,47.5815993132314,-122.000007641793,53033032213,"Census Tract 322.13, King County, Washington",4538,41.5,0.03,0.07,0.2,0.43,0.27,0.02
5608000700,20140918,1038000,3,2.5,4570,10615,2,0,1991,98027,47.5532961596569,-122.096913568523,53033025003,"Census Tract 250.03, King County, Washington",6856,40.6,0.02,0.12,0.22,0.34,0.3,0.04
3295610350,20150323,850000,5,2.75,3430,15119,2,0,1998,98075,47.567798875729,-122.03190877391,53033032208,"Census Tract 322.08, King County, Washington",9749,44.6,0.02,0.11,0.25,0.37,0.26,0.05
1592000260,20150217,6e+05,3,2.25,2240,9314,2,0,1984,98074,47.6215915248232,-122.031928814175,53033032318,"Census Tract 323.18, King County, Washington",6176,37.4,0,0.06,0.16,0.44,0.34,0.03
8113600004,20140520,599950,3,2.5,2660,4975,2,0,2014,98118,47.5487044337216,-122.271994659937,53033010200,"Census Tract 102, King County, Washington",4570,41.8,0.09,0.11,0.2,0.32,0.28,0.06
1180002378,20140926,299000,4,2.5,1950,3000,2,0,2002,98178,47.4977083758659,-122.226000899524,53033026002,"Census Tract 260.02, King County, Washington",8590,32.3,0.17,0.24,0.33,0.19,0.07,0.2
3751602329,20140627,215500,2,1.75,1220,15600,1,0,1972,98001,47.2852969955488,-122.265003191582,53033030401,"Census Tract 304.01, King County, Washington",9736,36.4,0.07,0.26,0.44,0.18,0.06,0.09
6819100310,20150414,950000,4,3,2420,4800,1.5,0,1919,98119,47.6452940191778,-122.358013767579,53033006000,"Census Tract 60, King County, Washington",5785,36.2,0.02,0.02,0.22,0.36,0.37,0.09
4327100045,20140721,3e+05,5,1,1940,8875,1,0,1957,98188,47.4406973306042,-122.275036833334,53033028403,"Census Tract 284.03, King County, Washington",5362,39.5,0.17,0.4,0.31,0.07,0.05,0.18
3125079062,20150426,589000,3,2.5,2660,206480,1,0,1989,98024,47.6041999721134,-121.956075952554,53033032500,"Census Tract 325, King County, Washington",5483,43.6,0.07,0.2,0.3,0.3,0.14,0.05
2591020140,20141202,475000,3,2.5,1460,4961,1,0,1988,98033,47.6955058158954,-122.183000410096,53033022500,"Census Tract 225, King County, Washington",8438,43.3,0.02,0.07,0.23,0.43,0.26,0.04
34001160,20140919,590000,3,2,3030,9374,1,0,1959,98136,47.5289059095556,-122.39097232656,53033011600,"Census Tract 116, King County, Washington",6899,45.7,0.04,0.13,0.28,0.36,0.2,0.04
8849300160,20150205,345000,4,2.5,2280,8190,1,0,1983,98188,47.4413975253488,-122.271911133688,53033028300,"Census Tract 283, King County, Washington",5143,37.5,0.09,0.24,0.34,0.25,0.09,0.06
1022059082,20140508,307000,3,1.75,1890,13860,1,0,1966,98042,47.4155905320953,-122.148938549156,53033031800,"Census Tract 318, King County, Washington",4625,46.2,0.03,0.22,0.38,0.26,0.11,0.03
7795400046,20140611,276900,2,1,1350,10096,1,0,1952,98045,47.4966975905387,-121.777994817546,53033032704,"Census Tract 327.04, King County, Washington",6641,39.3,0.08,0.22,0.33,0.28,0.09,0.15
7702600160,20140709,507000,3,1.75,2140,40098,1,0,1950,98058,47.4295902225968,-122.111089350407,53033031906,"Census Tract 319.06, King County, Washington",3875,43.2,0.08,0.18,0.26,0.39,0.08,0.03
